NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA AL DIANTE Esparguete Integral 500 g,,,"1,55 €","3,10 €/Kg",,,
DIA VEGECAMPO Milho Doce 285 g,,,"0,89 €","3,12 €/Kg",,,
DIA Cogumelos Laminados 185 g,,,"1,15 €","6,22 €/Kg",,,
DIA Creme de Espargos 75 g,,,"0,79 €","10,53 €/Kg",,,
CAÇAROLA Arroz Estufado 1 kg,,,"1,57 €","1,57 €/Kg",,,
DIA SNACK MANIAC! Pipocas Salgadas Para Microondas 3x90 g,,,"1,02 €","3,40 €/Kg",,,
FULA Óleo Alimentar 3 L,,,"9,99 €","3,33 €/l",,,
DIA SNACK MANIAC! Milho Para Pipocas 500 g,,,"0,66 €","1,32 €/Kg",,,
DIA Creme de Marisco 75 g,,,"0,85 €","11,33 €/Kg",,,
DIA VEGECAMPO Tomate Pelado 780 g,,,"1,33 €","1,71 €/Kg",,,
DIA MARI MARINHEIRA Petinga em Óleo Vegetal 90 g,,,"0,89 €","9,89 €/Kg",,,
DIA MARI MARINHEIRA Sardinhas em Tomate 120 g,,,"1,02 €","8,50 €/Kg",,,
KNORR Massa Noodles Queijo e Ervas 61 g,,,"1,39 €","22,79 €/Kg",,,
DIA TÔFRITA! Batata Frita Lisas 100 g,,,"1,05 €","10,50 €/Kg",,,
DIA TÔFRITA! Batata Frita Ondulada 100 g,,,"1,05 €","10,50 €/Kg",,,
DIA Fusilli 3 Queijos 145 g,,,"1,65 €","11,38 €/Kg",,,
DIA VEGECAMPO Polpa de Tomate 1 kg,,,"1,79 €","1,79 €/Kg",,,
MATUTANO Aperitivos 3D'S 85 g,,,"1,65 €","19,41 €/Kg",,,
DIA LEGUMEU Feijão Manteiga Lata 820 g,,,"0,99 €","1,21 €/Kg",,,
DIA LEGUMEU Feijão Frade Lata 820 g,,,"1,15 €","1,40 €/Kg",,,
DIA É PRA CURTIR Azeitonas Verdes Sem Caroço 330 g,,,"1,29 €","3,91 €/Kg",,,
DIA AL DIANTE Massa Aletria 500 g,,,"1,19 €","2,38 €/Kg",,,
DIA AL DIANTE Massa Meada 500 g,,,"1,39 €","2,78 €/Kg",,,
OLIVEIRA DA SERRA Azeite Virgem Extra 2 L,,,"14,69 €","7,35 €/l",,,
OLIVEIRA DA SERRA Azeite Virgem Extra Clássico 750 ml,,,"5,19 €","6,92 €/l",,,
DIA AL DIANTE Massa Pevide 250 g,,,"0,65 €","2,60 €/Kg",,,
