NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
AFTER EIGHT Chocolate Nestlé 200 g,AFTER EIGHT,,"3,15 €","15,75 €/Kg",,,
PRÉSIDENT Queijo Camembert 250 g,PR SIDENT,,"3,79 €","15,16 €/Kg",,,
DIA SABOR CHARCUTEIRO Farinheira do Fundão 250 g,DIA SABOR CHARCUTEIRO,,"2,35 €","9,40 €/Kg",,,
SANTIAGO Queijo Serra Da Vila 190 g,SANTIAGO,,"3,79 €","19,95 €/Kg",,,
SANTIAGO Queijo Regional Saloio 190 g,SANTIAGO,,"3,79 €","19,95 €/Kg",,,
DIA SONHOS Cocktail de Frutas 840 g,DIA SONHOS,,"2,20 €","2,62 €/Kg",,,
RIBERALVES Migas de Paloco 500 g,RIBERALVES,,"5,69 €","11,38 €/Kg",,,
MILKA Chocolate de Leite 270 g,MILKA,,"3,99 €","14,78 €/Kg",,,
DIA HORA + DOCE Pudim Flan 80 g,DIA HORA DOCE,,"0,81 €","10,13 €/Kg",,,
QUINTA DA AÇAFA Queijo de Ovelha Curado 1 un,QUINTA DA AFA,,"4,15 €","4,15 €/ud",,,
DAMATTA Morcela 200 g,DAMATTA,,"3,89 €","19,45 €/Kg",,,
DIA CAFETARIA Cápsulas de Café Intenso Intensidade 9 10 Un,DIA CAFETARIA,,"1,85 €","0,19 €/ud",,,
SANTIAGO Queijo Quinta do Olival Barrado 450 g,SANTIAGO,,"8,49 €","8,49 €/ud",,,
SERRAS DE PENELA Queijo de Vaca E Ovelha Grande 1 Un,SERRAS DE PENELA,,"4,49 €","4,49 €/ud",,,
PESCANOVA Delícias com Forma de Lagosta 255 g,PESCANOVA,,"2,09 €","8,20 €/Kg",,,
SOUZA Vinho do Porto Tawny 10 Anos 750 ml,SOUZA,,"16,99 €","22,65 €/l",,,
PAIVA Queijo Curado Meio Gordo 1 Un,PAIVA,,"7,55 €","7,55 €/ud",,,
DIA TEMPTATION Ovinhos de Chocolate Recheados com Creme de Avelã 225 g,DIA TEMPTATION,,"1,69 €","7,51 €/Kg",,,
DIA TEMPTATION Ovinhos de Chocolate Recheados com Creme de Leite 225 g,DIA TEMPTATION,,"1,69 €","7,51 €/Kg",,,
FERRERO ROCHER Bombons 16 un,FERRERO ROCHER,,"5,49 €","27,45 €/Kg",,,
NESTLÉ Bombons Caja Roja 200 g,NESTL,,"7,49 €","37,45 €/Kg",,,
MERCI Bombons 250 g,MERCI,,"7,29 €","29,16 €/Kg",,,
DIA DOCE NATAL Broa Castelar  250 g,DIA DOCE NATAL,,"1,29 €","5,16 €/Kg",,,
