NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
ROYAL Gelatina de Morango 4x100 g,,,"1,99 €","4,98 €/Kg",,,
ROYAL Gelatina de Morango Light 10 Kcal 4x100 g,,,"2,19 €","5,48 €/Kg",,,
FLORETTE Salada César Embalada 205 g,,,"3,25 €","15,85 €/Kg",,,
ROYAL Gelatina de Ananás Light 10 Kcal 4x100 g,,,"2,19 €","5,48 €/Kg",,,
DIA SONHOS Gelatina Ananás 6x100 g,,,"1,39 €","2,32 €/Kg",,,
DIA SONHOS Gelatina Tutti Frutti 6x100 g,,,"1,39 €","2,32 €/Kg",,,
DIA SONHOS Gelatina de Morango Light 8Kcal 6x100 g,,,"1,49 €","2,48 €/Kg",,,
FLORETTE Salada Massa E Rúcula Embalada 320 g,,,"3,39 €","10,76 €/Kg",,,
VITACRESS Salada Suprema Embalada 225 g,,,"3,49 €","15,51 €/Kg",,,
FLORETTE Salada Gourmet Completa 180 g,,,"3,39 €","18,83 €/Kg",,,
DANET Sobremesa Baunilha 4x125 g,,,"2,99 €","5,98 €/Kg",,,
DANET Sobremesa Caramelo 4x125 g,,,"2,99 €","5,98 €/Kg",,,
RANA Folhas Para Lasanha 250 g,,,"2,69 €","10,76 €/Kg",,,
RANA Tortellini Fiambre e Queijo 250 g,,,"2,47 €","9,88 €/Kg","3,29 €","13,16 €/Kg",
Salsicha Clássica 1 un,,,"0,59 €","0,59 €/ud",,,
Salsicha Picante 1 un,,,"0,59 €","0,59 €/ud",,,
Meio Frango Assado (1 un = 350 g aprox),,,"3,14 €","8,37 €/Kg",,,
Tiras de Entrecosto,,,"14,89 €","14,89 €/Kg",,,
Frango Assado (1 un = 750 g aprox),,,"6,19 €","8,25 €/Kg",,,
Arroz,,,"3,49 €","3,49 €/Kg",,,
DANET Sobremesa de Chocolate Duplo Prazer 4x100 g,,,"2,99 €","7,48 €/Kg",,,
O PRÉMIO DO DIA Sobremesa Flan de Ovo 4x100 g,,,"1,75 €","4,38 €/Kg",,,
DIA AL PUNTO Lasanha À Bolonhesa 1 kg,,,"4,95 €","4,95 €/Kg",,,
DIA AL PUNTO Pizza Fresca Queijo E Fiambre 400 g,,,"2,69 €","2,69 €/ud",,,
DIA AL PUNTO Pizza Fresca Atum E Bacon 400 g,,,"2,75 €","2,75 €/ud",,,
O PRÉMIO DO DIA Mousse de Chocolate 4x60 g,,,"1,05 €","4,38 €/Kg",,,
