NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA Álcool Etílico 96% 250 ml,DIA,,"0,79 €","3,16 €/l",,,
DIA BONTÉ Pensos Rápidos Variados 30 un,DIA BONT,,"0,61 €","0,61 €/ud",,,
DIA Água Oxigenada 500 ml,DIA,,"0,85 €","1,70 €/l",,,
HANSAPLAST Pensos Para Calos 8 un,HANSAPLAST,,"3,59 €","0,45 €/ud",,,
HANSAPLAST Pensos Sortidos 20 Un,HANSAPLAST,,"2,19 €","0,11 €/ud",,,
HANSAPLAST Pensos Rápidos Universais 20 un,HANSAPLAST,,"2,09 €","0,10 €/ud",,,
DIA Álcool Etílico Sanitário 70º 250 ml,DIA,,"0,79 €","3,16 €/l",,,
DIA BONTÉ Compressas de Gaze Esterelizadas 5x2 un,DIA BONT,,"1,55 €","0,16 €/ud",,,
LABELLO Batom Hidratação For Men 1 un,LABELLO,,"4,49 €","4,49 €/ud",,,
DIA BONTÉ Óleo Da Árvore de Chá 10 ml,DIA BONT,,"4,49 €","449,00 €/l",,,
DUREX Preservativos Intense Orgasmic 12 Un,DUREX,,"9,44 €","0,79 €/ud",,,
ENO Sais De Fruta Tradicional 10 un,ENO,,"4,99 €","0,50 €/ud",,,
ENO Sais De Fruta Laranja  10 un,ENO,,"4,99 €","0,50 €/ud",,,
DIA BONTÉ Preservativo Natural 24 Un,DIA BONT,,"7,09 €","0,30 €/ud",,,
LABELLO Batom Fruity Shine Blackerry 1 un,LABELLO,,"3,49 €","3,49 €/ud",,,
VASELINE Vaselina Original 50 ml,VASELINE,,"1,99 €","39,80 €/l",,,
Álcool Gel Antisséptico 70% 120 ml,,,"0,99 €","8,25 €/l",,,
LABELLO Batom do Cieiro Protetor Azul 1 Un,LABELLO,,"2,29 €","2,29 €/ud",,,
DIA BONTÉ Algodão Zig Zag 200 g,DIA BONT,,"1,16 €","5,80 €/Kg",,,
DUREX Lubrificante Play Original 50 ml,DUREX,,"6,99 €","139,80 €/l",,,
Máscaras Protetoras Descartáveis 50 Un,,,"1,99 €","1,99 €/ud",,,
THE FRUIT COMPANY Gel Higienizador Para Mãos Morango e Nata 45 ml,THE FRUIT COMPANY,,"1,00 €","22,22 €/l",,,
THE FRUIT COMPANY Gel Higienizador Para Mãos Coco 45 ml,THE FRUIT COMPANY,,"1,00 €","22,22 €/l",,,
CARAVAN Gel Higienizador Para Mãos Coco 100 ml,CARAVAN,,"1,99 €","19,90 €/l",,,
SEPTONA Toalhita Desinfetante Antibacteriana Maçã Verde 15 un,SEPTONA,,"0,99 €","0,99 €/ud",,,
SEPTONA Toalhita Desinfetante Antibacteriana Hidratante 15 un,SEPTONA,,"0,99 €","0,99 €/ud",,,
SEPTONA Toalhita Desinfetante Antibacteriana Kids 15 un,SEPTONA,,"0,99 €","0,99 €/ud",,,
DUREX Preservativos Invisible 12 un,DUREX,,"9,09 €","0,76 €/ud",,,
CARAVAN Gel Higienizador Para Mãos Morango e Nata 100 ml,CARAVAN,,"1,99 €","19,90 €/l",,,
CARAVAN Gel Higienizador Para Mãos Melão 100 ml,CARAVAN,,"1,99 €","19,90 €/l",,,
CARAVAN Gel Higienizador Para Mãos Baunilha 100 ml,CARAVAN,,"1,99 €","19,90 €/l",,,
DUREX Lubrificante e Gel Massagem 2 em 1 Sensual 200 ml,DUREX,,"10,49 €","52,45 €/l",,,
DETTOL Gel Desinfetante Mãos Antibacteriano 50 ml,DETTOL,,"1,99 €","39,80 €/l",,,
FLOWFLEX Kit Teste Rápido Antigénio SARS-COV-2 1 un,FLOWFLEX SARS COV,,"1,79 €","1,79 €/ud",,,
ASPIRINA C 400 mg + 240 mg Comprimido Efervescente 10 un,ASPIRINA,,"5,04 €","0,50 €/ud",,,
CENTRUM Multiviatminico Comprimido 30 un,CENTRUM,,"12,85 €","0,43 €/ud",,,
CLEARBLUE Teste de Gravidez 1 Minuto 1 un,CLEARBLUE,,"10,49 €","10,49 €/ud",,,
IBUPROFENO FARMOZ 200 mg Comprimido Revestido 20 un,IBUPROFENO FARMOZ,,"1,99 €","0,10 €/ud",,,
NUROFEN XPRESS 200 mg Cápsula Mole 20 un,NUROFEN XPRESS,,"5,99 €","0,30 €/ud",,,
VIBROCIL Actilong 1 mg/ml Solução Para Inalação Por Nebulização 10 ml,VIBROCIL,,"7,15 €","715,00 €/l",,,
VOLTAREN Plast 140 mg Emplastro Medicamentoso 5 un,VOLTAREN,,"13,35 €","2,67 €/ud",,,
ASPIRINA XPRESS 500 mg Comprimido Revestido 20 un,ASPIRINA XPRESS,,"5,39 €","0,27 €/ud",,,
BEN-U-RON CAFF 500 mg + 65 mg Comprimido 20 un,BEN RON CAFF,,"5,64 €","0,28 €/ud",,,
BEN-U-RON 500 mg Comprimido 20 un,BEN RON,,"2,45 €","0,12 €/ud",,,
BRUFEN 200 mg Comprimido Revestido 20 un,BRUFEN,,"4,79 €","0,24 €/ud",,,
CANESTEN 10 mg/g Creme 20 g,CANESTEN,,"4,69 €","234,50 €/Kg",,,
CEGRIPE 500 mg + 1 mg Compromido 20 un,CEGRIPE,,"7,99 €","0,40 €/ud",,,
GRIPONAL 500 mg + 4 mg Comprimido Efervescente 20 un,GRIPONAL,,"8,69 €","0,43 €/ud",,,
ILVICO 250 mg + 3 mg + 10 mg + 36 mg Comprimido Revestido 20 un,ILVICO,,"7,24 €","0,36 €/ud",,,
KOMPENSAN Trieffect 340 mg + 30 mg Comprimido Para Chupar 20 un,KOMPENSAN,,"4,89 €","0,24 €/ud",,,
"MEBOCAINA Forte 4 mg + 1 mg + 0,2 mg Pastilha 24 un",MEBOCAINA,,"7,74 €","0,32 €/ud",,,
"STREPFEN Mel e Limão 8,75 mg Pastilha 16 un",STREPFEN,,"7,19 €","0,45 €/ud",,,
TRIFENE 200 200 mg Comprimido Revestido 20 un,TRIFENE,,"4,89 €","0,24 €/ud",,,
"STREPSILS Mel e Limão 1,2 mg + 0,6 mg Pastilha 24 un",STREPSILS,,"7,99 €","0,33 €/ud",,,
VITACE Comprimido Efervescente 20 un,VITACE,,"12,39 €","0,62 €/ud",,,
VOLTAREN 25 mg Cápsula Mole 20 un,VOLTAREN,,"7,99 €","0,40 €/ud",,,
BEPANTHENE PLUS 50 mg/g + 5 mg/g Creme 30 g,BEPANTHENE PLUS,,"5,14 €","171,33 €/Kg",,,
BISOLTUSSIN Tosse Seca 2 mg/ml Solução Oral 200 ml,BISOLTUSSIN,,"7,99 €","39,95 €/l",,,
"BISOLVON Linctus Adulto 1,6 mg/ml Xarope 200 ml",BISOLVON,,"8,45 €","42,25 €/l",,,
BRUFEN 200 mg Comprimido Revestido 60 un,BRUFEN,,"8,19 €","0,14 €/ud",,,
"DULCOGOTAS 7,5 ml/ml Gotas Orais Solução 30 ml",DULCOGOTAS,,"5,75 €","191,67 €/l",,,
GINO-CANESTEN 10 mg/g Creme Vaginal 50 g,GINO CANESTEN,,"6,29 €","125,80 €/Kg",,,
DAFLON 1000 1000mg Comprimido Revestido 30 un,DAFLON,,"18,89 €","0,63 €/ud",,,
IMODIUM Rapid 2 mg Comprimido Orodispersível 10 un,IMODIUM,,"7,35 €","0,74 €/ud",,,
BRUFEN Sem Açúcar 20 mg/ml Suspensão Oral 200 ml,BRUFEN,,"5,84 €","29,20 €/l",,,
CECRISINA 1000 mg Comprimido Efervescente 20 un,CECRISINA,,"7,49 €","0,37 €/ud",,,
VOLTAREN Emulgelex 20 mg/g Gel 100 g,VOLTAREN,,"13,99 €","139,90 €/Kg",,,
FENISTIL Gel 1 mg/g 30 g,FENISTIL,,"8,29 €","276,33 €/Kg",,,
UL-250 250 mg Cápsula 20 un,UL,,"13,95 €","0,70 €/ud",,,
VICKS VapoRub Pomada 50 g,VICKS,,"7,34 €","146,80 €/Kg",,,
BACITRACINA Zimaia 500 U.I./g + 2000 U.I./g Pomada 10 g,BACITRACINA,,"6,89 €","689,00 €/Kg",,,
"BEBEGEL 3830 mg/4,5g Gel Retal 6 un",BEBEGEL,,"5,14 €","0,86 €/ud",,,
VOLTAREN Emulgel 10 mg/g Gel 100 g,VOLTAREN,,"12,49 €","124,90 €/Kg",,,
Compressas Tecido Não Tecido 10cmx10cm Não Esterilizadas 100 un,,,"1,69 €","1,69 €/ud",,,
RHINOMER Força 2 Spray Nasal 135 ml,RHINOMER,,"10,95 €","81,11 €/l",,,
HALIBUT 150 mg/g Pomada 50 g,HALIBUT,,"6,29 €","125,80 €/Kg",,,
ZYRTEC 10 mg Comprimido Revestido 7 un,ZYRTEC,,"5,45 €","0,78 €/ud",,,
BEPANTHENE 50 mg/g Creme 30 g,BEPANTHENE,,"4,84 €","161,33 €/Kg",,,
TELFAST 120 120 mg Comprimido Revestido 10 un,TELFAST,,"5,15 €","0,52 €/ud",,,
MICROLAX 450 mg/5 ml + 45 mg/5 ml Solução Retal 6 un,MICROLAX,,"5,79 €","0,97 €/ud",,,
CENTRUM Homem 50+ Multivitaminico Comprimido 30 un,CENTRUM,,"21,19 €","0,71 €/ud",,,
FLUIMUCIL 600 mg Comprimido Efervescente 20 un,FLUIMUCIL,,"7,69 €","0,38 €/ud",,,
GAVISCON Duefet Suspensão Oral em Saquetas 12 un,GAVISCON,,"7,59 €","0,63 €/ud",,,
DULCOLAX 5 mg Comprimido Revestido 20 un,DULCOLAX,,"5,89 €","0,29 €/ud",,,
BETADINE 100 mg/ml Solução Cutânea 125 ml,BETADINE,,"4,99 €","39,92 €/l",,,
BEPANTHENE 50 mg/g Pomada 100 g,BEPANTHENE,,"8,09 €","80,90 €/Kg",,,
AERO-OM 105 mg/ml Emulsão Oral 25 ml,AERO OM,,"10,69 €","427,60 €/l",,,
STILNOITE Comprimidos 30 un,STILNOITE,,"13,64 €","0,45 €/ud",,,
RENNIE Digestif 680 mg + 80 mg Comprimido Para Mastigar 24 un,RENNIE,,"3,79 €","0,16 €/ud",,,
BEN-U-RON 40 mg/ml Xarope 150 ml,BEN RON,,"5,75 €","38,33 €/l",,,
DIA IMAQE Vaselina Neutra Hidratante 100 g,DIA IMAQE,,"2,25 €","22,50 €/Kg",,,
"BIAFINE 6,7 mg/g Emulsão Cutânea 100 ml",BIAFINE,,"9,99 €","99,90 €/l",,,
CENTRUM Mulher 50+ Multivitaminico Comprimido 30 un,CENTRUM,,"21,19 €","0,71 €/ud",,,
DORMIDINA 5 mg Comprimido Revestido 14 un,DORMIDINA,,"11,04 €","0,79 €/ud",,,
"NASORHINATIOL 0,05% 15 ml",NASORHINATIOL,,"7,34 €","489,33 €/l",,,
PARANIX Champô de Tratamento + Pente 200 ml,PARANIX,,"18,45 €","92,25 €/l",,,
THROMBOCID 15 mg/g Gel 100 g,THROMBOCID,,"10,29 €","102,90 €/Kg",,,
TRANSACT LAT 40 mg Penso Impregnado 10 un,TRANSACT LAT,,"14,75 €","1,48 €/ud",,,
VALDISPERT 125 mg Comprimido Revestido 50 un,VALDISPERT,,"11,84 €","0,24 €/ud",,,
VOLTAREN Emulgelex 20 mg/g Gel 180 g,VOLTAREN,,"22,49 €","124,94 €/Kg",,,
ZOVIRAX 50 mg/g Creme 2 g,ZOVIRAX,,"7,99 €","3.995,00 €/Kg",,,
ZOVIRAX Duo 50 mg/g + 10 mg/g Creme 2 g,ZOVIRAX,,"10,65 €","5.325,00 €/Kg",,,
"NORLEVO 1,5 mg Comprimido 1 un",NORLEVO,,"15,59 €","15,59 €/ud",,,
NIDERAN Paracetamol 500 mg Comprimido 20 un,NIDERAN,,"0,89 €","0,89 €/ud",,,
Álcool Gel 100 ml,,,"0,75 €","7,50 €/l",,,
Desinfetante para as Mãos em Spray 100 ml,,,"1,05 €","10,50 €/l",,,
Álcool Gel 500 ml,,,"1,89 €","3,78 €/l",,,
BEPANTHENE Baby Muda da Fralda Pomada 100 g,BEPANTHENE,,"9,99 €","99,90 €/Kg",,,
"BEPANTHENE Gotas Oftálmicas 0,5 ml 20 un",BEPANTHENE,,"13,99 €","0,70 €/ud",,,
DUREX Preservativo Extra Seguro 12 un,DUREX,,"7,99 €","0,67 €/ud",,,
