NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
DIA SNACK MANIAC! Pipocas Salgadas Para Microondas 3x90 g,DIA SNACK MANIAC,,"1,02 €","3,40 €/Kg",,,
SICAL Café Torrado 5 estrelas Lote Clássico em Grão 250 g,SICAL,,"3,59 €","14,36 €/Kg",,,
DIA Paté de Sardinha 65 g,DIA,,"0,71 €","10,92 €/Kg",,,
MOLICO Leite Em Pó Magro 380 g,MOLICO,,"5,75 €","15,13 €/Kg",,,
DIA Iogurte Pêssego e Maracujá 500 g,DIA,,"1,29 €","2,58 €/Kg",,,
DIA Iogurte Frutos Silvestres 500 g,DIA,,"1,29 €","2,58 €/Kg",,,
CASA DE MATEUS Doce de Morango 345 g,CASA DE MATEUS,,"2,24 €","6,49 €/Kg",,,
DIA TEMPTATION Gelado de Morango com Pedaços de Morango 1 L,DIA TEMPTATION,,"2,49 €","2,49 €/l",,,
DIA TEMPTATION Sortido de Gelados Infantil 6x110 ml,DIA TEMPTATION,,"3,55 €","5,38 €/l",,,
ACTIMEL Iogurte Líquido Natural 6x100 g,ACTIMEL,,"3,29 €","5,48 €/Kg",,,
DIA MARI MARINHEIRA Lulas Recheadas em Molho de Caldeirada 115 g,DIA MARI MARINHEIRA,,"2,29 €","19,91 €/Kg",,,
DIA HORA + DOCE Pudim Flan 80 g,DIA HORA DOCE,,"0,81 €","10,13 €/Kg",,,
DIA TEMPTATION Creme de Barrar com Avelã 750 g,DIA TEMPTATION,,"3,84 €","5,12 €/Kg",,,
NESCAFÉ Cappuccino Café Solúvel 125 g,NESCAF,,"3,19 €","25,52 €/Kg",,,
DIA HORA + DOCE Pudim Caramelo 90 g,DIA HORA DOCE,,"0,46 €","5,11 €/Kg",,,
"MAGNUM Gelados Multipack Magnum Mini Clássico, Amêndoas e Branco 6x55 ml",MAGNUM,,"4,99 €","15,12 €/l",,,
YOGOLINO Morango Alimento Lácteo +6 Meses 4x100 g,YOGOLINO,,"2,89 €","7,23 €/Kg",,,
NESCAFÉ GOLD Café Solúvel 100 g,NESCAF GOLD,,"5,69 €","56,90 €/Kg",,,
DIA Iogurte com Pedaços Ananás 200 g,DIA,,"0,69 €","3,45 €/Kg",,,
DIA Polpa de Tomate Brick 3x210 g,DIA,,"1,33 €","2,11 €/Kg",,,
MAGNUM Gelados Multipack Magnum Mini Amêndoas 6x55 ml,MAGNUM,,"4,99 €","15,12 €/l",,,
DIA Iogurte Stracciatella 500 g,DIA,,"1,29 €","2,58 €/Kg",,,
NESCAFÉ DOLCE GUSTO Espresso Decaffeinato (Intensidade 5) 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
DIA Creme Vinagre Balsâmico de Modena 250 ml,DIA,,"1,74 €","6,96 €/l",,,
PESCANOVA Caprichos Do Mar sem Glúten 400 g,PESCANOVA,,"3,59 €","8,98 €/Kg",,,
DIA SABOR CHARCUTEIRO Peito de Frango Fatiado 200 g,DIA SABOR CHARCUTEIRO,,"2,69 €","13,45 €/Kg",,,
NESCAFÉ DOLCE GUSTO Achocolatado Nesquik 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
DIA SNACK MANIAC! Pipocas Sabor a Manteiga Para Microondas 3x90 g,DIA SNACK MANIAC,,"1,49 €","5,52 €/Kg",,,
NESCAFÉ DOLCE GUSTO Café Au Lait 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
DIA SABOR CHARCUTEIRO Mortadela 900 g,DIA SABOR CHARCUTEIRO,,"3,09 €","3,43 €/Kg",,,
NESCAFÉ DOLCE GUSTO Café Expresso Sical (Intensidade 7) 16 Un,NESCAF DOLCE GUSTO,,"5,99 €","0,37 €/ud",,,
NESCAFÉ DOLCE GUSTO Café Expresso Buondi (Intensidade 8) 30 Un,NESCAF DOLCE GUSTO,,"10,49 €","0,35 €/ud",,,
IZIDORO Salsichas de Aves em Frasco 5 Un,IZIDORO,,"3,69 €","15,06 €/Kg",,,
CRUNCH Chocolate Nestlé 40 g,CRUNCH,,"0,99 €","24,75 €/Kg",,,
NAN 4 Leite de Crescimento +12 800 g,NAN,,"13,49 €","16,86 €/Kg",,,
