Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA TONI TÓNICO Água Tónica 6x200 ml,"2,65 €",,"2,21 €/l",
COCA-COLA Sabor Light 330 ml,"0,75 €",,"2,27 €/l",
TERRAS D'EL REI Vinho Tinto Regional Alentejo 750 ml,"2,84 €",,"3,79 €/l",
"JOI Refrigerante Sem Gás de Laranja e Maracujá 1,5 L","1,90 €",,"1,27 €/l",
"FESTA DO DIA Sangria 1,5 L","1,99 €",,"1,33 €/l",
PORCA DE MURÇA Vinho Tinto 750 ml,"4,85 €",,"6,47 €/l",
GAZELA Vinho Verde Branco 750 ml,"2,84 €",,"3,79 €/l",
MARTINI Vermouth Bianco 750 ml,"8,07 €",,"10,76 €/l",
DIA RIO NOVO Vinho Tinto Doc Bairrada 750 ml,"2,56 €",,"3,41 €/l",
UM BONGO Néctar Laranja 3x200 ml,"1,39 €",,"2,32 €/l",
DIA ALVINI Vermouth Tinto 1 L,"5,35 €",,"5,35 €/l",
SCOTTISH GROCER Whisky 700 ml,"7,92 €",,"11,31 €/l",
COCA-COLA Sabor Original 500 ml,"1,00 €",,"2,00 €/l",
PORTA DA RAVESSA Vinho Branco Doc Alentejo 750 ml,"2,24 €",,"2,99 €/l",
COMPAL Sumo 100% Maçã 1 L,"1,69 €",,"1,69 €/l",
LIPTON Ice Tea Pêssego Prisma 1 L,"1,49 €",,"1,49 €/l",
NAVEGANTE Vinho Tinto Regional Alentejo 750 ml,"1,99 €",,"2,65 €/l",
CASALEIRO Vinho Tinto Regional Tejo 750 ml,"2,23 €",,"2,97 €/l",
LIPTON Ice Tea Manga Prisma 1 L,"1,49 €",,"1,49 €/l",
J&B Whisky Rare 700 ml,"16,99 €",,"24,27 €/l",
DIA MONÁSTICO Vinho Tinto Doc Dão Reserva  750 ml,"3,08 €",,"4,11 €/l",
"SANTAL Refrigerante Sem Gás Active Drink Laranja E Cenoura 1,5 L","1,49 €",,"0,99 €/l",
REGUENGOS Vinho Branco DOC Alentejo 750 ml,"3,49 €",,"4,65 €/l",
MONSARAZ Vinho Branco DOC Alentejano 750 ml,"3,99 €",,"5,32 €/l",
MONSARAZ Vinho Tinto Doc Alentejo 750 ml,"3,99 €",,"5,32 €/l",
MONÁSTICO Vinho Branco DOC Dão 750 ml,"2,05 €",,"2,73 €/l",
DIA MONÁSTICO Vinho Tinto Doc Dão 750 ml,"2,05 €",,"2,73 €/l",
"TRINA Refrigerante Sem Gás de Frutos Tropicais 1,5 L","2,15 €",,"1,43 €/l",
PERIQUITA Vinho Tinto Regional Penísula de Setúbal 750 ml,"3,49 €","4,99 €","4,65 €/l","6,65 €/l"
COMPAL Néctar Clássico de Pêssego 3x200 ml,"1,39 €",,"2,32 €/l",
TERRAS DE BACO Vinho Tinto Regional Alentejo 750 ml,"2,99 €",,"3,99 €/l",
LUSO Água Lisa Sport 750 ml,"0,69 €",,"0,92 €/l",
MONTE DAS ÂNFORAS Vinho Tinto Regional Alentejano 750 ml,"2,65 €",,"3,53 €/l",
MATEUS Vinho Rosé 750 ml,"4,29 €",,"5,72 €/l",
FRANZISKANER Cerveja com Álcool 500 ml,"2,69 €",,"5,38 €/l",
ERISTOFF Vodka 700 ml,"9,99 €",,"14,27 €/l",
"GUARANÁ ANTARCTICA Refrigerante com Gás 1,5 L","1,99 €",,"1,33 €/l",
DIA Vinho Tinto Bag In Box 5 L,"6,15 €",,"1,23 €/l",
ALABASTRO Vinho Tinto Regional Alentejano 750 ml,"2,99 €",,"3,99 €/l",
MONTE VELHO Vinho Tinto Regional Alentejo 750 ml,"5,59 €",,"7,45 €/l",
ALANDRA Vinho Tinto 750 ml,"2,10 €",,"2,80 €/l",
LIPTON Ice Tea Limão Prisma 1 L,"1,99 €",,"1,99 €/l",
BACALHÔA Moscatel de Setúbal 750 ml,"6,09 €",,"8,12 €/l",
DIA FONTE DOS FRADES Vinho Branco Regional Tejo 750 ml,"1,69 €","2,15 €","2,25 €/l","2,87 €/l"
SUMOL Refrigerante com Gás de Laranja 500 ml,"0,99 €",,"1,98 €/l",
POWERADE Ice Storm 500 ml,"1,39 €",,"2,78 €/l",
"VITALIS Água Sem Gás 1,5 L","0,57 €",,"0,38 €/l",
"FANTA ZERO Ananás 1,5 L","1,60 €",,"1,07 €/l",
LOGAN Whisky 700 ml,"23,99 €",,"34,27 €/l",
ST. BART Vinho Do Porto Branco 750 ml,"4,83 €",,"6,44 €/l",
