Nome,Preço,Preço Antigo,PpU,PpU Antigo
BECEL Creme Vegetal para Barrar 225 g,"2,99 €",,"13,29 €/Kg",
VAQUEIRO Margarina 250 g,"1,35 €",,"5,40 €/Kg",
PLANTA Margarina 225 g,"1,99 €",,"8,84 €/Kg",
DIA LÁCTEA Iogurte Pedaços Morango 4x125 g,"1,25 €",,"2,50 €/Kg",
DIA LÁCTEA Iogurte Aroma Morango 4x125 g,"0,79 €",,"1,58 €/Kg",
DIA LÁCTEA Iogurte Pedaços Frutos Silvestres 4x125 g,"1,25 €",,"2,50 €/Kg",
PRÉSIDENT Queijo Camembert 250 g,"3,79 €",,"15,16 €/Kg",
DIA LÁCTEA Iogurte Aroma Banana 4x125 g,"0,79 €",,"1,58 €/Kg",
SANTIAGO Queijo Serra Da Vila 190 g,"2,99 €",,"15,74 €/Kg",
SANTIAGO Queijo Regional Saloio 190 g,"2,59 €",,"13,63 €/Kg",
MOLICO Leite Em Pó Magro 380 g,"4,99 €",,"13,13 €/Kg",
DIA Iogurte Pêssego e Maracujá 500 g,"1,29 €",,"2,58 €/Kg",
DIA Iogurte Frutos Silvestres 500 g,"1,29 €",,"2,58 €/Kg",
LIMIANO Queijo Flamengo Fatias 200 g,"2,29 €","2,69 €","11,45 €/Kg","13,45 €/Kg"
DIA LÁCTEA Iogurte Pedaços Cereais 4x125 g,"1,25 €",,"2,50 €/Kg",
DIA LÁCTEA Iogurte Aroma Coco 4x125 g,"0,79 €",,"1,58 €/Kg",
DIA LÁCTEA Iogurte Líquido Aroma Banana 160 g,"0,36 €",,"0,36 €/ud",
DIA LÁCTEA Iogurte Líquido Magro Polpa Manga 4x160 g,"1,75 €",,"0,44 €/ud",
DIA Ovos Classe M 12 Un,"2,54 €",,"2,54 €/ud",
ACTIMEL Tutti Frutti 6x100 g,"2,49 €",,"4,15 €/Kg",
YOGGI Iogurte Líquido de Morango 4x160 g,"3,19 €",,"4,98 €/Kg",
DIA LÁCTEA Iogurte Aroma Tutti Frutti 4x125 g,"0,79 €",,"1,58 €/Kg",
DIA LÁCTEA Iogurte Líquido Magro Polpa Morango 4x160 g,"1,75 €",,"0,44 €/ud",
