Nome,Preço,Preço Antigo,PpU,PpU Antigo
AFTER EIGHT Chocolate Nestlé 200 g,"2,34 €",,"11,70 €/Kg",
DIA SABOR CHARCUTEIRO Farinheira do Fundão 250 g,"2,35 €",,"9,40 €/Kg",
SANTIAGO Queijo Serra Da Vila 190 g,"3,79 €",,"19,95 €/Kg",
SANTIAGO Queijo Regional Saloio 190 g,"3,79 €",,"19,95 €/Kg",
DIA SONHOS Cocktail de Frutas 840 g,"2,20 €",,"2,62 €/Kg",
RIBERALVES Migas de Paloco 500 g,"4,99 €",,"9,98 €/Kg",
MILKA Chocolate de Leite 270 g,"3,99 €",,"14,78 €/Kg",
DIA HORA + DOCE Pudim Flan 80 g,"0,81 €",,"10,13 €/Kg",
QUINTA DA AÇAFA Queijo de Ovelha Curado 1 un,"4,15 €",,"4,15 €/ud",
KINDER BUENO Snack Chocolate Mini 108 g,"2,49 €",,"23,06 €/Kg",
DAMATTA Morcela 200 g,"2,40 €",,"12,00 €/Kg",
DIA CAFETARIA Cápsulas de Café Intenso Intensidade 9 10 Un,"1,85 €",,"0,19 €/ud",
SANTIAGO Queijo Quinta do Olival Barrado 450 g,"9,99 €",,"9,99 €/ud",
SERRAS DE PENELA Queijo de Vaca E Ovelha Grande 1 Un,"6,99 €",,"6,99 €/ud",
PESCANOVA Delícias com Forma de Lagosta 255 g,"2,99 €",,"11,73 €/Kg",
SOUZA Vinho do Porto Tawny 10 Anos 750 ml,"16,99 €",,"22,65 €/l",
PAIVA Queijo Curado Meio Gordo 1 Un,"7,55 €",,"7,55 €/ud",
DIA TEMPTATION Ovinhos de Chocolate Recheados com Creme de Avelã 225 g,"1,44 €","1,69 €","6,40 €/Kg","7,51 €/Kg"
DIA TEMPTATION Ovinhos de Chocolate Recheados com Creme de Leite 225 g,"1,44 €","1,69 €","6,40 €/Kg","7,51 €/Kg"
FERRERO ROCHER Bombons 16 un,"4,09 €",,"20,45 €/Kg",
NESTLÉ Bombons Caja Roja 200 g,"5,59 €",,"27,95 €/Kg",
MERCI Bombons 250 g,"7,29 €",,"29,16 €/Kg",
DIA DOCE NATAL Broa Castelar  250 g,"1,14 €","1,29 €","4,56 €/Kg","5,16 €/Kg"
DIA TEMPTATION Bombons de Licor e Cereja 400 g,"3,24 €","4,09 €","8,10 €/Kg","10,23 €/Kg"
FORNADA DO DIA Bolo Rei 600 g,"5,99 €",,"9,98 €/Kg",
FERRERO COLLECTION Bombons 15 Un,"5,89 €",,"33,66 €/Kg",
DIA TEMPTATION Sortido de Bombons de Chocolate 450 g,"3,59 €","4,79 €","7,98 €/Kg","10,64 €/Kg"
DIA ESPECIALÍSSIMO Cereja Cristalizada 250 g,"2,89 €",,"11,56 €/Kg",
MILKA I Love Milka Nougat  110 g,"2,99 €","4,59 €","27,18 €/Kg","41,73 €/Kg"
FERRERO PRESTIGE Bombons 21 Un,"7,84 €","10,49 €","31,74 €/Kg","42,47 €/Kg"
FORNADA DO DIA Bolo Rainha 600 g,"6,99 €",,"13,98 €/Kg",
MILKA I Love Milka Morango  110 g,"2,99 €","4,59 €","27,18 €/Kg","41,73 €/Kg"
FRUTOS SECOS DO DIA Sultana Dourada 200 g,"0,99 €",,"4,95 €/Kg",
FRUTOS SECOS DO DIA Alperce Seco 200 g,"2,25 €",,"11,25 €/Kg",
FRUTOS SECOS DO DIA Passas Uva Moscatel 200 g,"0,79 €",,"3,95 €/Kg",
DIA TEMPTATION Sortido de Bombons Sem Açúcar 300 g,"3,99 €","4,99 €","13,30 €/Kg","16,63 €/Kg"
DIA TEMPTATION Trufas Belgas Cacau 250 g,"1,74 €","2,19 €","6,96 €/Kg","8,76 €/Kg"
CARAVAN Coffret Eau de Parfum nº43 + Mini 30 ml 1 un,"11,99 €",,"79,93 €/l",
CARAVAN Coffret Eau de Parfum nº1 + Mini 30 ml 1 un,"11,99 €",,"79,93 €/l",
