Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA Álcool Etílico 96% 250 ml,"0,79 €",,"3,16 €/l",
DIA Água Oxigenada 500 ml,"0,85 €",,"1,70 €/l",
HANSAPLAST Pensos Para Calos 8 un,"3,59 €",,"0,45 €/ud",
DIA BONTÉ Gel de Limpeza Para as Mãos 100 ml,"1,15 €",,"11,50 €/l",
HANSAPLAST Pensos Sortidos 20 Un,"2,19 €",,"0,11 €/ud",
LABELLO Batom Hidratação Rosa 1 Un,"2,29 €",,"2,29 €/ud",
DIA Álcool Etílico Sanitário 70º 250 ml,"0,79 €",,"3,16 €/l",
LABELLO Batom Hidratação For Men 1 un,"4,49 €",,"4,49 €/ud",
DIA BONTÉ Óleo Da Árvore de Chá 10 ml,"4,49 €",,"449,00 €/l",
DUREX Preservativos Intense Orgasmic 12 Un,"9,44 €","13,89 €","0,79 €/ud","1,16 €/ud"
ENO Sais De Fruta Tradicional 10 un,"4,99 €",,"0,50 €/ud",
ENO Sais De Fruta Laranja  10 un,"4,99 €",,"0,50 €/ud",
DIA BONTÉ Preservativo Natural 24 Un,"7,09 €",,"0,30 €/ud",
LABELLO Batom Fruity Shine Blackerry 1 un,"3,49 €",,"3,49 €/ud",
VASELINE Vaselina Original 50 ml,"1,99 €",,"39,80 €/l",
Álcool Gel Antisséptico 70% 120 ml,"0,99 €",,"8,25 €/l",
CONTROL Preservativos Sensitive 6Ud 6 Un,"3,49 €",,"0,58 €/ud",
LABELLO Batom do Cieiro Protetor Azul 1 Un,"2,29 €",,"2,29 €/ud",
DIA BONTÉ Algodão Zig Zag 200 g,"1,16 €",,"5,80 €/Kg",
DIA Soro Fisiológico 100 ml,"0,64 €",,"6,40 €/l",
CONTROL Preservativos Nature 6 Un,"3,14 €",,"0,52 €/ud",
Máscaras Protetoras Descartáveis 50 Un,"1,99 €",,"1,99 €/ud",
THE FRUIT COMPANY Gel Higienizador Para Mãos Morango e Nata 45 ml,"1,00 €",,"22,22 €/l",
THE FRUIT COMPANY Gel Higienizador Para Mãos Coco 45 ml,"1,00 €",,"22,22 €/l",
CARAVAN Gel Higienizador Para Mãos Coco 100 ml,"1,99 €",,"19,90 €/l",
SEPTONA Toalhita Desinfetante Antibacteriana Maçã Verde 15 un,"0,99 €",,"0,99 €/ud",
SEPTONA Toalhita Desinfetante Antibacteriana Hidratante 15 un,"0,99 €",,"0,99 €/ud",
SEPTONA Toalhita Desinfetante Antibacteriana Kids 15 un,"0,99 €",,"0,99 €/ud",
DUREX Preservativos Invisible 12 un,"9,09 €","12,99 €","0,76 €/ud","1,08 €/ud"
