Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA SNACK MANIAC! Pipocas Salgadas Para Microondas 3x90 g,"1,02 €",,"3,40 €/Kg",
DIA MARI MARINHEIRA Sardinhas em Tomate 120 g,"1,02 €",,"8,50 €/Kg",
SICAL Café Torrado 5 estrelas Lote Clássico em Grão 250 g,"3,59 €",,"14,36 €/Kg",
SICAL Café Torrado 5 estrelas Lote Clássico Moagem Grossa 250 g,"3,59 €",,"14,36 €/Kg",
DIA Paté de Sardinha 65 g,"0,71 €",,"10,92 €/Kg",
DIA SABOR CHARCUTEIRO Cubos de Presunto Curado 2x75 g,"1,99 €",,"13,27 €/Kg",
MOLICO Leite Em Pó Magro 380 g,"4,99 €",,"13,13 €/Kg",
DIA Iogurte Pêssego e Maracujá 500 g,"1,29 €",,"2,58 €/Kg",
DIA Iogurte Frutos Silvestres 500 g,"1,29 €",,"2,58 €/Kg",
CASA DE MATEUS Doce de Morango 345 g,"2,99 €",,"8,67 €/Kg",
DIA TEMPTATION Gelado de Morango com Pedaços de Morango 1 L,"2,19 €",,"2,19 €/l",
DIA TEMPTATION Sortido de Gelados Infantil 6x110 ml,"3,55 €",,"5,38 €/l",
DIA AL PUNTO Gaspacho 1 L,"1,65 €",,"1,65 €/l",
DIA MARI MARINHEIRA Lulas Recheadas em Molho de Caldeirada 115 g,"2,29 €",,"19,91 €/Kg",
DIA HORA + DOCE Pudim Flan 80 g,"0,55 €",,"6,88 €/Kg",
DIA TEMPTATION Creme de Barrar com Avelã 750 g,"3,84 €",,"5,12 €/Kg",
NESCAFÉ Cappuccino Café Solúvel 125 g,"3,19 €",,"25,52 €/Kg",
DIA HORA + DOCE Pudim Caramelo 90 g,"0,46 €",,"5,11 €/Kg",
NESTLÉ Bebida Láctea Crescimento 1-3 Anos 1 L,"2,25 €",,"2,25 €/l",
"MAGNUM Gelados Multipack Magnum Mini Clássico, Amêndoas e Branco 6x55 ml","4,99 €",,"15,12 €/l",
YOGOLINO Morango Alimento Lácteo +6 Meses 4x100 g,"2,16 €",,"5,40 €/Kg",
PESCANOVA Preparado de Arroz de Marisco 500 g,"3,65 €",,"7,30 €/Kg",
NESCAFÉ GOLD Café Solúvel 100 g,"5,69 €",,"56,90 €/Kg",
DIA Iogurte com Pedaços Ananás 200 g,"0,65 €",,"3,25 €/Kg",
DIA Polpa de Tomate Brick 3x210 g,"1,33 €",,"2,11 €/Kg",
