Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo,EAN
MOELAS DE FRANGO AVIPRONTO KG,AVIPRONTO,0.496 KG,5.28€,10.65 €/Kg,None,2830004000007
Pensos Higiénicos Cottonlike Normal Evax 20 un,EVAX,None,2.59€,0.13 €/un,None,8410108659086
Gel de Limpeza de Rosto Refrescante NIVEA 150 ml,NIVEA,0.15 LT,6.99€,46.6 €/Lt,None,4005808669707
CARAPAU PEQUENO KG,None,1 KG,4.99€,4.99 €/Kg,None,2850043000004
BALA SPRAY REDEX 200ML,REDEX,0.2 LT,4.99€,24.95 €/Lt,None,5601214454235
VINHO TINTO QUINTA DO COTTO DOC DOURO 0.75L,QUINTA DO COTTO,0.75 LT,8.49€,11.32 €/Lt,None,5602235210114
VINHO PORTO OFFLEY TAWNY 0.75L,OFFLEY,0.75 LT,5.89€,6.25 €/Lt,4.69€,5601034001503
BETERRABA FERBAR EM VINAGRE 345(180)G,FERBAR,0.345 KG,1.49€,8.28 €/Kg,None,5601319000269
REFRIGERANTE JOI SEM GÁS LIMÃO 1.5L,JOI,1.5 LT,1.90€,1.27 €/Lt,None,5601146243518
PARGO GRANDE KG,None,1 KG,11.99€,11.99 €/Kg,None,2850015000001
WHISKY VAT 69 NOVO 0.70L,VAT 69,0.7 LT,13.49€,19.27 €/Lt,None,5000292261115
BOLACHA CUÉTARA CREAM CRACKER INTEGRAL 200G,CUÉTARA,0.2 KG,1.39€,6.95 €/Kg,None,8434165476424
VINHO TINTO PORCA DE MURÇA DOURO 0.75L,PORCA DE MURÇA,0.75 LT,4.79€,4.79 €/Lt,3.59€,5601109211127
PÃO DE MILHO COM GIRASSOL -25% SAL PRODUÇÃO PRÓPRIA 250G,None,0.25 KG,1.30€,5.2 €/Kg,None,2120209000002
CHAVENA COM PIRES SAGRES VISTA ALEGRE PORCELANA BRANCO,VISTA ALEGRE,None,7.99€,7.99 €/un,None,5601266198101
Autobrilhante Calçado Com Esponja Castanho Búfalo 50ml,BUFALO,0.05 LT,2.25€,45 €/Lt,None,4009175139566
DENTÃO FRESCO INTEIRO KG,None,1 KG,7.99€,7.99 €/Kg,None,2850039000001
ALHO MARGÃO PICADO 60G,MARGÃO,0.06 KG,3.49€,58.17 €/Kg,None,5601063001703
CANELA MARGÃO EM PÁU 30G,MARGÃO,0.03 KG,2.99€,99.67 €/Kg,None,5601063000720
SARDA KG,None,1 KG,6.99€,6.99 €/Kg,None,2850030000000
CHOURICÃO NOBRE KG,NOBRE,1 KG,14.99€,14.99 €/Kg,None,2840144000003
CHAMPAGNE MÖET & CHANDON BRUT 0.75L,MÖET & CHANDON,0.75L,43.95€,58.6 €/Lt,None,3185370740194
Espuma de Barbear Protect & Care NIVEA MEN 200 ml,NIVEA,0.2 LT,4.49€,17.95 €/Lt,3.59€,4005808222490
FOLHADO VITELA BACON E ALHO FRANÇÊS KG,None,1 KG,10.99€,10.99 €/Kg,None,2836082000007
DONUTS CHOCOLATE 4UN 200G,None,4UN,2.89€,14.45 €/Kg,None,8410022000063
Coloração Nº 5/0 Castanho Claro Koleston un,KOLESTON,None,9.99€,6.49 €/un,6.49€,5601171103504
